Planet_Mass_Earth,Equilibrium_Temperature,Planet_Radius_Earth,Category,Category_Index,features_cat,rawPrediction,probability,prediction
20.0,513,4.91,Gas Giant,0.0,"[20.0,513.0,4.91]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
26.78,767,5.05,Gas Giant,0.0,"[26.78,767.0,5.05]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
16.9,1135,2.87,Gas Giant,0.0,"[16.9,1135.0,2.87]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
244.09344,1553,15.805,Gas Giant,0.0,"[244.09344,1553.0,15.805]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
2415.4,1952,12.22,Gas Giant,0.0,"[2415.4,1952.0,12.22]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
22.4,603,5.203,Gas Giant,0.0,"[22.4,603.0,5.203]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
96.30201,1388,9.236,Gas Giant,0.0,"[96.30201,1388.0,9.236]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
95.34852,904,11.209,Gas Giant,0.0,"[95.34852,904.0,11.209]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
96.4,919,9.1,Gas Giant,0.0,"[96.4,919.0,9.1]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
122.68177,1387,18.103,Gas Giant,0.0,"[122.68177,1387.0,18.103]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
327.3649,1721,12.274,Gas Giant,0.0,"[327.3649,1721.0,12.274]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
9.13,666,2.69,Rocky Planet,1.0,"[9.13,666.0,2.69]","[0.0,10.0]","[0.0,1.0]",1.0
7.7,1310,1.655,Rocky Planet,1.0,"[7.7,1310.0,1.655]","[0.0,10.0]","[0.0,1.0]",1.0
57.2,1871,3.2,Gas Giant,0.0,"[57.2,1871.0,3.2]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
24.0,722,3.05,Gas Giant,0.0,"[24.0,722.0,3.05]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
323.23311,2132,17.318,Gas Giant,0.0,"[323.23311,2132.0,17.318]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
874.0325,2453,15.861,Gas Giant,0.0,"[874.0325,2453.0,15.861]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
2.1,345,1.51,Rocky Planet,1.0,"[2.1,345.0,1.51]","[0.0,10.0]","[0.0,1.0]",1.0
136.03056,682,10.099,Gas Giant,0.0,"[136.03056,682.0,10.099]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
